lccn,issn,notes and questions,objectid,pres_file,display_template,parentid,object_location,filename,image_small,image_thumb,object_pdf,title,"note (marc 521, 550)african americans|http://id.worldcat.org/fast/799558",publisher,publisher_uri,frequency,issuance_start,issuance_end,rightsstatement,rights,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,image_alt_text,contributing_institution,contributing_institution_uri,collectionid,type,format,language,creator,contributor,date,description,disclaimer,extent,genre,genre_uri,subject,subject_uri,location,location_uri,latitude,longitude,coordinates,chronological_subject,ark,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
,,,bystander1894081001i4,,child,bystander1894081001,,1894081001_0040.jp2,1894081001_0040_sm.jp2,1894081001_0040_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894081701,,complex,,,1894081701_0041.jp2,1894081701_0041_sm.jp2,1894081701_0041_th.jp2,1894081701.pdf,"Iowa State Bystander. volume 01, number 11, August 17, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-08-17,"Contents include but are not limited to local news, Chinese labor laws, accidents, congress, local droughts, and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; Iowa--Burlington; Iowa--Albia; Starvation; Agricultural laws and legislation; African Americans--Agriculture; Discoveries in science,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/1216205; http://id.worldcat.org/fast/1228837; http://id.worldcat.org/fast/1131740; http://id.worldcat.org/fast/801020; http://id.worldcat.org/fast/1750326; http://id.worldcat.org/fast/894959,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894081701i1,,child,bystander1894081701,,1894081701_0041.jp2,1894081701_0041_sm.jp2,1894081701_0041_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894081701i2,,child,bystander1894081701,,1894081701_0042.jp2,1894081701_0042_sm.jp2,1894081701_0042_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894081701i3,,child,bystander1894081701,,1894081701_0043.jp2,1894081701_0043_sm.jp2,1894081701_0043_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894081701i4,,child,bystander1894081701,,1894081701_0044.jp2,1894081701_0044_sm.jp2,1894081701_0044_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894082401,,complex,,,1894082401_0045.jp2,1894082401_0045_sm.jp2,1894082401_0045_th.jp2,1894082401.pdf,"Iowa State Bystander. volume 01, number 12, August 24, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-08-24,"Contents include but are not limited to local news, fashion, lynching laws, international politics and wars, the River and Harbor Bill, State Fair information, buisness news, discrimination, and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; Iowa--Keokuk; Iowa--Burlington; Fashion; Anti-lynching movements; Railroad accidents; Sino-Japanese War; Koreans; African Americans--Agriculture; Accidents; Discrimination; Vegetarianism,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/1206704; http://id.worldcat.org/fast/1216205; http://id.worldcat.org/fast/921600; http://id.worldcat.org/fast/2040651; http://id.worldcat.org/fast/1088560; http://id.worldcat.org/fast/1431381; http://id.worldcat.org/fast/988927; http://id.worldcat.org/fast/1750326; http://id.worldcat.org/fast/795270; http://id.worldcat.org/fast/894985; http://id.worldcat.org/fast/1164896,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894082401i1,,child,bystander1894082401,,1894082401_0045.jp2,1894082401_0045_sm.jp2,1894082401_0045_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894082401i2,,child,bystander1894082401,,1894082401_0047.jp2,1894082401_0047_sm.jp2,1894082401_0047_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894082401i3,,child,bystander1894082401,,1894082401_0048.jp2,1894082401_0048_sm.jp2,1894082401_0048_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
